code	ccd_comp_id	anomer	config	sugar	ring	linkage	method	onebead_target	identity	status
3rD	Z6J	alpha	L	ribo	furanose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3rU	32O	beta	L	ribo	furanose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3tA		alpha	L	talo	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3tB	ZEE	beta	L	talo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3uA	IDR	alpha	L	ido	pyranuronic acid	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3uB		beta	L	ido	pyranuronic acid	3	undecoded			UNSUPPORTED_ONEBEAD
3vA	YYQ	alpha	L	galacto	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3vB		beta	L	galacto	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3wA		alpha	L	manno	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3wB		beta	L	manno	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3xA	HSY	alpha	L	xylo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3xB	LXC	beta	L	xylo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3xD		alpha	L	xylo	furanose	3	undecoded			UNSUPPORTED_ONEBEAD
3xU		beta	L	xylo	furanose	3	undecoded			UNSUPPORTED_ONEBEAD
3yA	NGZ	alpha	L	gluco	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3yB		beta	L	gluco	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3zA		alpha	L	gluco	pyranuronic acid	3	undecoded			UNSUPPORTED_ONEBEAD
3zB		beta	L	gluco	pyranuronic acid	3	undecoded			UNSUPPORTED_ONEBEAD
4AA	64K	alpha	D	arabino	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4AB	SEJ	beta	D	arabino	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4BA		alpha	D	sorbo	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4BB		beta	D	sorbo	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4BD		alpha	D	sorbo	furanose	4	undecoded			UNSUPPORTED_ONEBEAD
4BU	UEA	beta	D	sorbo	furanose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4CA		alpha	D	fructo	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4CB	BDF	beta	D	fructo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4CD	Z9N	alpha	D	fructo	furanose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4CU	FRU	beta	D	fructo	furanose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4DA	LDY	alpha	D	lyxo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4DB	Z4W	beta	D	lyxo	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4EA	SHD	alpha	D	altro	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4EB		beta	D	altro	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4FA	FCA	alpha	D	fuco	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4FB	FCB	beta	D	fuco	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4GA	GLC	alpha	D	gluco	pyranose	4	ccd_name_index	GLC	alpha-D-Glcp	SUPPORTED_ONEBEAD
4GB	BGC	beta	D	gluco	pyranose	4	ccd_name_index	GLC	beta-D-Glcp	SUPPORTED_ONEBEAD
4HA	XXR	alpha	D	rhamno	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4HB	UBO	beta	D	rhamno	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4JA	T6T	alpha	D	tagato	pyranose	4	ccd_name_index			UNSUPPORTED_ONEBEAD
4JB		beta	D	tagato	pyranose	4	undecoded			UNSUPPORTED_ONEBEAD
4JD		alpha	D	tagato	furanose	4	undecoded			UNSUPPORTED_ONEBEAD
